mother_pid,wav,child_pid,child_wav,child_age,child_gender,child_enroll,mother_wav,mother_edu,mother_birthy,mother_pa401ccode,mother_birth_prov
120018101.0,2018,120018102.0,2018.0,15.0,0.0,1.0,2018.0,7.0,1980.0,,
120029101.0,2018,120029103.0,2018.0,10.0,1.0,1.0,2018.0,5.0,1983.0,,
120029101.0,2018,120029103.0,2018.0,10.0,1.0,1.0,2018.0,5.0,1983.0,,
120032101.0,2018,120032103.0,2018.0,14.0,0.0,0.0,2018.0,5.0,1981.0,,
120032101.0,2018,120032103.0,2018.0,14.0,0.0,1.0,2018.0,5.0,1981.0,,
120035102.0,2018,120035103.0,2018.0,19.0,1.0,1.0,2018.0,4.0,1977.0,,
120063102.0,2018,120063103.0,2018.0,14.0,1.0,1.0,2018.0,7.0,1978.0,,
120063102.0,2018,120063103.0,2018.0,14.0,1.0,1.0,2018.0,7.0,1978.0,,
120071101.0,2018,120071103.0,2018.0,19.0,1.0,1.0,2018.0,5.0,1975.0,,
120072102.0,2018,120072103.0,2018.0,17.0,0.0,1.0,2018.0,5.0,1979.0,,
120078104.0,2018,120078105.0,2018.0,14.0,1.0,1.0,2018.0,4.0,1982.0,,
120078104.0,2018,120078105.0,2018.0,14.0,1.0,1.0,2018.0,4.0,1982.0,,
120081103.0,2018,120081105.0,2018.0,11.0,1.0,1.0,2018.0,,1968.0,,
120081103.0,2018,120081105.0,2018.0,11.0,1.0,1.0,2018.0,,1968.0,,
120082101.0,2018,120082105.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1982.0,,
120082101.0,2018,120082105.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1982.0,,
120103101.0,2018,120103105.0,2018.0,16.0,1.0,1.0,2018.0,0.0,1980.0,,
120131101.0,2018,120131103.0,2018.0,18.0,1.0,1.0,2018.0,,1972.0,,
220344104.0,2018,220344105.0,2018.0,12.0,1.0,1.0,2018.0,3.0,1984.0,,
220344104.0,2018,220344105.0,2018.0,12.0,1.0,0.0,2018.0,3.0,1984.0,,
310587102.0,2018,310587105.0,2018.0,10.0,0.0,1.0,2018.0,5.0,1985.0,,
310587102.0,2018,310587105.0,2018.0,10.0,0.0,1.0,2018.0,5.0,1985.0,,
340318104.0,2018,340318105.0,2018.0,11.0,1.0,1.0,2018.0,4.0,,,
340318104.0,2018,340318105.0,2018.0,11.0,1.0,0.0,2018.0,4.0,,,
350105107.0,2018,350105106.0,2018.0,17.0,1.0,1.0,2018.0,0.0,,,
411338104.0,2018,411338105.0,2018.0,13.0,1.0,1.0,,,,,
411338104.0,2018,411338105.0,2018.0,13.0,1.0,1.0,,,,,
130001103.0,2018,130001105.0,2018.0,10.0,0.0,1.0,2018.0,3.0,1980.0,,
130001103.0,2018,130001105.0,2018.0,10.0,0.0,1.0,2018.0,3.0,1980.0,,
130002101.0,2018,130002102.0,2018.0,15.0,1.0,1.0,2018.0,,1969.0,,
130002101.0,2018,130002102.0,2018.0,15.0,1.0,1.0,2018.0,,1969.0,,
130004101.0,2018,130004103.0,2018.0,19.0,1.0,1.0,2018.0,4.0,1974.0,,
130019104.0,2018,130019401.0,2018.0,12.0,0.0,1.0,2018.0,,1964.0,,
130019104.0,2018,130019401.0,2018.0,12.0,0.0,1.0,2018.0,,1964.0,,
130020104.0,2018,130020106.0,2018.0,12.0,1.0,1.0,2018.0,0.0,,,
130022105.0,2018,130022106.0,2018.0,17.0,1.0,1.0,2018.0,4.0,1979.0,,
130029104.0,2018,130029105.0,2018.0,15.0,1.0,1.0,2018.0,4.0,1979.0,,
130029104.0,2018,130029105.0,2018.0,15.0,1.0,1.0,2018.0,4.0,1979.0,,
130032101.0,2018,130032105.0,2018.0,18.0,0.0,1.0,2018.0,3.0,1978.0,,
130042101.0,2018,130042105.0,2018.0,13.0,0.0,1.0,2018.0,3.0,1982.0,,
130042101.0,2018,130042105.0,2018.0,13.0,0.0,1.0,2018.0,3.0,1982.0,,
130046103.0,2018,130046106.0,2018.0,14.0,1.0,1.0,2018.0,4.0,1981.0,,
130046103.0,2018,130046106.0,2018.0,14.0,1.0,1.0,2018.0,4.0,1981.0,,
130051101.0,2018,130051103.0,2018.0,17.0,1.0,1.0,2018.0,10.0,1974.0,,
130054501.0,2018,130054104.0,2018.0,16.0,1.0,1.0,2018.0,,,,
130057104.0,2018,130057105.0,2018.0,14.0,0.0,1.0,2018.0,4.0,1975.0,,
130057104.0,2018,130057105.0,2018.0,14.0,0.0,1.0,2018.0,4.0,1975.0,,
130060102.0,2018,130060103.0,2018.0,18.0,1.0,1.0,2018.0,,1973.0,,
130062101.0,2018,130062103.0,2018.0,17.0,0.0,1.0,2018.0,,1973.0,,
130065104.0,2018,130065105.0,2018.0,12.0,1.0,1.0,,,,,
130071431.0,2018,130071433.0,2018.0,10.0,1.0,1.0,2018.0,3.0,1987.0,,
130071431.0,2018,130071433.0,2018.0,10.0,1.0,1.0,2018.0,3.0,1987.0,,
130072101.0,2018,130072103.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1982.0,,
130072101.0,2018,130072103.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1982.0,,
130073101.0,2018,130073103.0,2018.0,13.0,0.0,1.0,2018.0,4.0,1983.0,,
130073101.0,2018,130073103.0,2018.0,13.0,0.0,1.0,2018.0,4.0,1983.0,,
130075104.0,2018,130075105.0,2018.0,13.0,0.0,1.0,2018.0,4.0,1987.0,,
130089102.0,2018,130089103.0,2018.0,19.0,0.0,0.0,2018.0,3.0,1976.0,,
130099104.0,2018,130099106.0,2018.0,11.0,1.0,1.0,2018.0,5.0,1976.0,,
130099104.0,2018,130099106.0,2018.0,11.0,1.0,1.0,2018.0,5.0,1976.0,,
130100104.0,2018,130100105.0,2018.0,10.0,1.0,1.0,2018.0,3.0,,,
130103101.0,2018,130103105.0,2018.0,14.0,0.0,1.0,2018.0,4.0,1980.0,,
130103101.0,2018,130103105.0,2018.0,14.0,0.0,1.0,2018.0,4.0,1980.0,,
130104104.0,2018,130104105.0,2018.0,19.0,0.0,1.0,2018.0,3.0,,,
130133102.0,2018,130133103.0,2018.0,13.0,1.0,1.0,2018.0,7.0,1983.0,,
130133102.0,2018,130133103.0,2018.0,13.0,1.0,1.0,2018.0,7.0,1983.0,,
130140101.0,2018,130140103.0,2018.0,15.0,1.0,1.0,2018.0,6.0,1979.0,,
130140101.0,2018,130140103.0,2018.0,15.0,1.0,1.0,2018.0,6.0,1979.0,,
130147101.0,2018,130147103.0,2018.0,16.0,1.0,0.0,2018.0,4.0,1974.0,,
130154104.0,2018,130154105.0,2018.0,12.0,0.0,1.0,2018.0,4.0,1975.0,,
130154104.0,2018,130154105.0,2018.0,12.0,0.0,1.0,2018.0,4.0,1975.0,,
130165101.0,2018,130165103.0,2018.0,15.0,1.0,1.0,2018.0,3.0,1975.0,,
130165101.0,2018,130165103.0,2018.0,15.0,1.0,1.0,2018.0,3.0,1975.0,,
130172101.0,2018,130172103.0,2018.0,10.0,1.0,1.0,2018.0,0.0,1979.0,,
130172101.0,2018,130172103.0,2018.0,10.0,1.0,1.0,2018.0,0.0,1979.0,,
130204105.0,2018,130204104.0,2018.0,12.0,1.0,1.0,2018.0,6.0,1981.0,,
130204105.0,2018,130204104.0,2018.0,12.0,1.0,1.0,2018.0,6.0,1981.0,,
130207107.0,2018,130207105.0,2018.0,12.0,0.0,1.0,2018.0,6.0,1980.0,,
130207107.0,2018,130207105.0,2018.0,12.0,0.0,1.0,2018.0,6.0,1980.0,,
130207108.0,2018,130207106.0,2018.0,11.0,0.0,1.0,2018.0,4.0,1984.0,,
130207108.0,2018,130207106.0,2018.0,11.0,0.0,1.0,2018.0,4.0,1984.0,,
130208108.0,2018,130208105.0,2018.0,11.0,0.0,1.0,2018.0,,,,
130226102.0,2018,130226103.0,2018.0,18.0,1.0,1.0,2018.0,,1973.0,,
130228101.0,2018,130228103.0,2018.0,15.0,1.0,1.0,2018.0,6.0,1978.0,,
130228101.0,2018,130228103.0,2018.0,15.0,1.0,1.0,2018.0,6.0,1978.0,,
130289102.0,2018,130289103.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1979.0,,
130289102.0,2018,130289103.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1979.0,,
130293102.0,2018,130293103.0,2018.0,13.0,0.0,1.0,2018.0,3.0,1980.0,,
130297101.0,2018,130297103.0,2018.0,16.0,1.0,1.0,2018.0,7.0,1976.0,,
130306101.0,2018,130306103.0,2018.0,16.0,1.0,1.0,2018.0,4.0,1979.0,,
130307101.0,2018,130307103.0,2018.0,16.0,1.0,1.0,2018.0,4.0,1975.0,,
130310104.0,2018,130310105.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1983.0,,
130310104.0,2018,130310105.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1983.0,,
130320102.0,2018,130320103.0,2018.0,12.0,1.0,1.0,2018.0,4.0,1979.0,,
130320102.0,2018,130320103.0,2018.0,12.0,1.0,1.0,2018.0,4.0,1979.0,,
130322103.0,2018,130322104.0,2018.0,16.0,0.0,1.0,2018.0,4.0,1981.0,,
130323102.0,2018,130323104.0,2018.0,15.0,1.0,1.0,2018.0,4.0,1981.0,,
130323102.0,2018,130323104.0,2018.0,15.0,1.0,1.0,2018.0,4.0,1981.0,,
130332101.0,2018,130332103.0,2018.0,18.0,0.0,1.0,2018.0,4.0,1976.0,,
130381101.0,2018,130381102.0,2018.0,19.0,0.0,1.0,2018.0,4.0,1977.0,,
130385105.0,2018,130385106.0,2018.0,10.0,0.0,1.0,2018.0,,,,
