mother_pid,wav,child_pid,child_birth_y,child_gender,child_enroll,child_age,child_math,child_eduy,child_wav,mother_birth_y,mother_gender,mother_age,mother_eth,mother_birth_prov,mother_enroll2,mother_eduy,mother_wav
450235106.0,2020,450235107.0,2009.0,1.0,1.0,11.0,2.0,4.0,2020.0,1977.0,0.0,43.0,,,0.0,15.0,2020.0
130746104.0,2020,130746105.0,2009.0,1.0,1.0,11.0,2.0,6.0,2020.0,1980.0,0.0,40.0,,,0.0,15.0,2020.0
135165501.0,2020,135165502.0,2008.0,0.0,1.0,12.0,2.0,5.0,2020.0,1984.0,0.0,36.0,,,0.0,9.0,2020.0
230394101.0,2020,230394103.0,2009.0,1.0,1.0,11.0,1.0,5.0,2020.0,1973.0,0.0,47.0,,,,0.0,2020.0
130074104.0,2020,130074105.0,2005.0,1.0,1.0,15.0,3.0,8.0,2020.0,1981.0,0.0,39.0,,,0.0,9.0,2020.0
140006102.0,2020,140006103.0,2007.0,1.0,1.0,13.0,2.0,7.0,2020.0,1987.0,0.0,33.0,,,0.0,9.0,2020.0
140018104.0,2020,140018105.0,2009.0,1.0,1.0,11.0,1.0,5.0,2020.0,,,,,,,,
140019104.0,2020,140019105.0,2008.0,0.0,1.0,12.0,1.0,6.0,2020.0,1988.0,0.0,32.0,,,0.0,6.0,2020.0
140049101.0,2020,140049103.0,2007.0,1.0,1.0,13.0,2.0,7.0,2020.0,1982.0,0.0,38.0,,,0.0,12.0,2020.0
140084105.0,2020,140084106.0,2008.0,1.0,1.0,12.0,4.0,5.0,2020.0,1986.0,0.0,34.0,,,0.0,9.0,2020.0
140086104.0,2020,140086105.0,2006.0,0.0,1.0,14.0,3.0,9.0,2020.0,1982.0,0.0,38.0,,,0.0,9.0,2020.0
140128101.0,2020,140128104.0,2008.0,0.0,1.0,12.0,3.0,4.0,2020.0,1983.0,0.0,37.0,,,0.0,9.0,2020.0
