mother_pid,wav,child_pid,child_birth_y,child_gender,child_age,child_enroll,child_math,child_eduy,child_wav,mother_birth_y,mother_gender,mother_age,mother_eth,mother_birth_prov,mother_enroll2,mother_eduy,mother_wav
130001103.0,2018,130001105.0,2008.0,0.0,10.0,1.0,4.0,4.0,2018.0,1980.0,0.0,38.0,,,0.0,0.0,2018.0
130002101.0,2018,130002102.0,2003.0,1.0,15.0,1.0,3.0,9.0,2018.0,1969.0,0.0,49.0,,,,6.0,2018.0
130019104.0,2018,130019401.0,2006.0,0.0,12.0,1.0,3.0,6.0,2018.0,1964.0,0.0,54.0,,,,0.0,2018.0
130020104.0,2018,130020106.0,2006.0,1.0,12.0,1.0,3.0,5.0,2018.0,,0.0,44.0,,,0.0,0.0,2018.0
130029104.0,2018,130029105.0,2003.0,1.0,15.0,1.0,2.0,8.0,2018.0,1979.0,0.0,39.0,,,0.0,9.0,2018.0
130042101.0,2018,130042105.0,2005.0,0.0,13.0,1.0,4.0,6.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
130046103.0,2018,130046106.0,2004.0,1.0,14.0,1.0,2.0,7.0,2018.0,1981.0,0.0,37.0,,,0.0,9.0,2018.0
130057104.0,2018,130057105.0,2004.0,0.0,14.0,1.0,4.0,8.0,2018.0,1975.0,0.0,43.0,,,0.0,9.0,2018.0
130065104.0,2018,130065105.0,2006.0,1.0,12.0,1.0,2.0,6.0,2018.0,,,,,,,,
130071431.0,2018,130071433.0,2008.0,1.0,10.0,1.0,4.0,4.0,2018.0,1987.0,0.0,31.0,,,0.0,9.0,2018.0
130072101.0,2018,130072103.0,2003.0,0.0,15.0,1.0,4.0,9.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
130073101.0,2018,130073103.0,2005.0,0.0,13.0,1.0,4.0,6.0,2018.0,1983.0,0.0,35.0,,,0.0,9.0,2018.0
130075104.0,2018,130075105.0,2005.0,0.0,13.0,1.0,1.0,5.0,2018.0,1987.0,0.0,31.0,,,0.0,9.0,2018.0
130099104.0,2018,130099106.0,2007.0,1.0,11.0,1.0,3.0,4.0,2018.0,1976.0,0.0,42.0,,,0.0,12.0,2018.0
130100104.0,2018,130100105.0,2008.0,1.0,10.0,1.0,1.0,4.0,2018.0,,0.0,42.0,1.0,,0.0,6.0,2018.0
130103101.0,2018,130103105.0,2004.0,0.0,14.0,1.0,3.0,8.0,2018.0,1980.0,0.0,38.0,,,0.0,9.0,2018.0
130133102.0,2018,130133103.0,2005.0,1.0,13.0,1.0,1.0,7.0,2018.0,1983.0,0.0,35.0,,,0.0,16.0,2018.0
130140101.0,2018,130140103.0,2003.0,1.0,15.0,1.0,1.0,9.0,2018.0,1979.0,0.0,39.0,,,0.0,15.0,2018.0
130154104.0,2018,130154105.0,2006.0,0.0,12.0,1.0,2.0,5.0,2018.0,1975.0,0.0,43.0,,,0.0,9.0,2018.0
130165101.0,2018,130165103.0,2003.0,1.0,15.0,1.0,3.0,9.0,2018.0,1975.0,0.0,43.0,,,0.0,6.0,2018.0
130172101.0,2018,130172103.0,2008.0,1.0,10.0,1.0,3.0,4.0,2018.0,1979.0,0.0,39.0,,,0.0,0.0,2018.0
130204105.0,2018,130204104.0,2006.0,1.0,12.0,1.0,1.0,6.0,2018.0,1981.0,0.0,37.0,,,0.0,15.0,2018.0
130207107.0,2018,130207105.0,2006.0,0.0,12.0,1.0,1.0,6.0,2018.0,1980.0,0.0,38.0,,,0.0,15.0,2018.0
130207108.0,2018,130207106.0,2007.0,0.0,11.0,1.0,4.0,5.0,2018.0,1984.0,0.0,34.0,,,0.0,9.0,2018.0
130228101.0,2018,130228103.0,2003.0,1.0,15.0,1.0,1.0,9.0,2018.0,1978.0,0.0,40.0,,,0.0,15.0,2018.0
130289102.0,2018,130289103.0,2003.0,0.0,15.0,1.0,4.0,9.0,2018.0,1979.0,0.0,39.0,,,0.0,9.0,2018.0
130293102.0,2018,130293103.0,2005.0,0.0,13.0,1.0,2.0,8.0,2018.0,1980.0,0.0,38.0,,,0.0,7.0,2018.0
130310104.0,2018,130310105.0,2008.0,0.0,10.0,1.0,3.0,4.0,2018.0,1983.0,0.0,35.0,,,0.0,9.0,2018.0
130320102.0,2018,130320103.0,2006.0,1.0,12.0,1.0,3.0,6.0,2018.0,1979.0,0.0,39.0,,,0.0,9.0,2018.0
130323102.0,2018,130323104.0,2003.0,1.0,15.0,1.0,1.0,9.0,2018.0,1981.0,0.0,37.0,,,0.0,9.0,2018.0
130385105.0,2018,130385106.0,2008.0,0.0,10.0,1.0,1.0,4.0,2018.0,,0.0,31.0,1.0,,0.0,,2018.0
130393105.0,2018,130393107.0,2008.0,1.0,10.0,1.0,2.0,3.0,2018.0,1980.0,0.0,38.0,,,0.0,8.0,2018.0
130396105.0,2018,130396106.0,2008.0,0.0,10.0,1.0,1.0,4.0,2018.0,,,,,,,,
130398104.0,2018,130398105.0,2003.0,1.0,15.0,1.0,2.0,9.0,2018.0,,,,,,,,
130399104.0,2018,130399105.0,2006.0,1.0,12.0,1.0,4.0,6.0,2018.0,,0.0,43.0,,,0.0,12.0,2018.0
130413104.0,2018,130413105.0,2005.0,0.0,13.0,1.0,4.0,7.0,2018.0,,,,,,,,
130420102.0,2018,130420103.0,2004.0,0.0,14.0,1.0,1.0,9.0,2018.0,1983.0,0.0,35.0,,,0.0,9.0,2018.0
130426103.0,2018,130426105.0,2004.0,1.0,14.0,1.0,2.0,8.0,2018.0,1978.0,0.0,40.0,,,0.0,6.0,2018.0
130433104.0,2018,130433105.0,2005.0,1.0,13.0,1.0,4.0,7.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
130443104.0,2018,130443105.0,2005.0,0.0,13.0,0.0,2.0,6.0,2018.0,1982.0,0.0,36.0,,,0.0,12.0,2018.0
130453101.0,2018,130453103.0,2003.0,0.0,15.0,1.0,4.0,9.0,2018.0,1974.0,0.0,44.0,,,0.0,9.0,2018.0
130459102.0,2018,130459103.0,2003.0,1.0,15.0,0.0,3.0,10.0,2018.0,1978.0,0.0,40.0,,,0.0,6.0,2018.0
130465104.0,2018,130465105.0,2004.0,1.0,14.0,1.0,3.0,8.0,2018.0,,0.0,37.0,,13.0,0.0,9.0,2018.0
130472104.0,2018,130472105.0,2007.0,1.0,11.0,1.0,3.0,5.0,2018.0,1983.0,0.0,35.0,,,0.0,9.0,2018.0
130475106.0,2018,130475107.0,2004.0,1.0,14.0,1.0,4.0,8.0,2018.0,,,,,,,,
130480101.0,2018,130480103.0,2005.0,1.0,13.0,1.0,2.0,7.0,2018.0,1973.0,0.0,45.0,,,,12.0,2018.0
130486103.0,2018,130486104.0,2006.0,1.0,12.0,1.0,3.0,6.0,2018.0,,0.0,33.0,,,0.0,3.0,2018.0
130489101.0,2018,130489105.0,2003.0,1.0,15.0,1.0,2.0,9.0,2018.0,1974.0,0.0,44.0,,,0.0,12.0,2018.0
130491101.0,2018,130491104.0,2007.0,1.0,11.0,1.0,3.0,4.0,2018.0,1968.0,0.0,50.0,,,,5.0,2018.0
130505207.0,2018,130505103.0,2006.0,1.0,12.0,1.0,1.0,5.0,2018.0,,0.0,36.0,1.0,,0.0,,2018.0
130506102.0,2018,130506103.0,2003.0,1.0,15.0,1.0,4.0,8.0,2018.0,1981.0,0.0,37.0,,,0.0,9.0,2018.0
130512103.0,2018,130512105.0,2008.0,1.0,10.0,1.0,3.0,4.0,2018.0,1981.0,0.0,37.0,,,0.0,0.0,2018.0
130518101.0,2018,130518103.0,2003.0,1.0,15.0,1.0,4.0,9.0,2018.0,1979.0,0.0,39.0,,,0.0,9.0,2018.0
130523101.0,2018,130523103.0,2005.0,0.0,13.0,1.0,1.0,7.0,2018.0,1973.0,0.0,45.0,,,,9.0,2018.0
130534102.0,2018,130534103.0,2008.0,0.0,10.0,1.0,3.0,4.0,2018.0,1984.0,0.0,34.0,,,0.0,9.0,2018.0
130563102.0,2018,130563103.0,2004.0,0.0,14.0,1.0,2.0,8.0,2018.0,1981.0,0.0,37.0,,,0.0,7.0,2018.0
130571102.0,2018,130571103.0,2008.0,1.0,10.0,1.0,2.0,4.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
130575102.0,2018,130575103.0,2003.0,1.0,15.0,1.0,3.0,9.0,2018.0,1981.0,0.0,37.0,,,0.0,9.0,2018.0
130693101.0,2018,130693103.0,2005.0,1.0,13.0,1.0,3.0,6.0,2018.0,1982.0,0.0,36.0,,,0.0,7.0,2018.0
130700103.0,2018,130700106.0,2007.0,0.0,11.0,1.0,4.0,5.0,2018.0,1985.0,0.0,33.0,,,0.0,9.0,2018.0
130705103.0,2018,130705104.0,2008.0,0.0,10.0,1.0,3.0,3.0,2018.0,1987.0,0.0,31.0,,,0.0,10.0,2018.0
130708101.0,2018,130708103.0,2003.0,1.0,15.0,1.0,3.0,9.0,2018.0,1979.0,0.0,39.0,,,0.0,9.0,2018.0
130717101.0,2018,130717103.0,2005.0,1.0,13.0,1.0,2.0,7.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
130783101.0,2018,130783103.0,2005.0,1.0,13.0,1.0,2.0,6.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
130810107.0,2018,130810105.0,2007.0,0.0,11.0,1.0,2.0,5.0,2018.0,1973.0,0.0,45.0,,,,9.0,2018.0
130841101.0,2018,130841103.0,2003.0,0.0,15.0,1.0,3.0,8.0,2018.0,1980.0,0.0,38.0,,,0.0,4.0,2018.0
130844101.0,2018,130844103.0,2003.0,0.0,15.0,1.0,1.0,10.0,2018.0,1980.0,0.0,38.0,,,0.0,9.0,2018.0
130846102.0,2018,130846103.0,2006.0,0.0,12.0,1.0,2.0,5.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
130875108.0,2018,130875106.0,2005.0,1.0,13.0,1.0,4.0,8.0,2018.0,,,,,,,,
130877101.0,2018,130877105.0,2008.0,0.0,10.0,1.0,3.0,4.0,2018.0,1979.0,0.0,39.0,,,0.0,9.0,2018.0
130880104.0,2018,130880105.0,2008.0,0.0,10.0,1.0,4.0,3.0,2018.0,1987.0,0.0,31.0,,,0.0,9.0,2018.0
130892104.0,2018,130892105.0,2008.0,0.0,10.0,1.0,1.0,3.0,2018.0,1987.0,0.0,31.0,,,0.0,9.0,2018.0
130893105.0,2018,130893106.0,2008.0,0.0,10.0,1.0,1.0,4.0,2018.0,1986.0,0.0,32.0,,,0.0,10.0,2018.0
130898101.0,2018,130898103.0,2003.0,0.0,15.0,1.0,4.0,9.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
130900103.0,2018,130900106.0,2006.0,1.0,12.0,1.0,2.0,6.0,2018.0,1985.0,0.0,33.0,,,0.0,9.0,2018.0
130902106.0,2018,130902105.0,2007.0,1.0,11.0,1.0,2.0,5.0,2018.0,1986.0,0.0,32.0,,,0.0,9.0,2018.0
130903501.0,2018,130903104.0,2003.0,1.0,15.0,1.0,,9.0,2018.0,,,,,,,,
