mother_pid,wav,child_pid,child_age,child_gender,child_birth_prov,child_eth,child_enroll,child_math,child_eduy,child_wav,mother_age,mother_gender,mother_birth_prov,mother_eth,mother_enroll2,mother_eduy,mother_wav
130307101.0,2016,130307103.0,14.0,1.0,,,1.0,1.0,9.0,2016.0,41.0,0.0,,,0.0,9.0,2016.0
130320102.0,2016,130320103.0,10.0,1.0,,,1.0,3.0,4.0,2016.0,37.0,0.0,,,0.0,9.0,2016.0
130322103.0,2016,130322104.0,14.0,0.0,,,1.0,2.0,10.0,2016.0,35.0,0.0,,,0.0,9.0,2016.0
130323102.0,2016,130323104.0,13.0,1.0,,,1.0,2.0,7.0,2016.0,35.0,0.0,,,0.0,9.0,2016.0
130333104.0,2016,130333105.0,12.0,0.0,,,1.0,1.0,5.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
130351101.0,2016,130351103.0,11.0,1.0,,,1.0,4.0,4.0,2016.0,36.0,0.0,,,0.0,9.0,2016.0
130398104.0,2016,130398105.0,13.0,0.0,,,1.0,3.0,7.0,2016.0,,,,,,,
130399104.0,2016,130399105.0,10.0,0.0,,,1.0,4.0,4.0,2016.0,41.0,0.0,,,0.0,12.0,2016.0
130413104.0,2016,130413105.0,11.0,0.0,,,1.0,4.0,5.0,2016.0,,,,,,,
130418101.0,2016,130418103.0,14.0,1.0,,,1.0,3.0,8.0,2016.0,37.0,0.0,,,0.0,7.0,2016.0
130420102.0,2016,130420103.0,12.0,0.0,,,1.0,1.0,7.0,2016.0,33.0,0.0,,,0.0,9.0,2016.0
130425105.0,2016,130425104.0,11.0,0.0,,,1.0,2.0,5.0,2016.0,35.0,0.0,,,0.0,9.0,2016.0
130426103.0,2016,130426105.0,12.0,1.0,,,1.0,3.0,6.0,2016.0,38.0,0.0,,,0.0,6.0,2016.0
130430103.0,2016,130430104.0,15.0,0.0,,,1.0,2.0,7.0,2016.0,50.0,0.0,,,,0.0,2016.0
130433104.0,2016,130433105.0,11.0,1.0,,,1.0,3.0,5.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
130443104.0,2016,130443105.0,11.0,0.0,,,1.0,1.0,4.0,2016.0,34.0,0.0,,,0.0,12.0,2016.0
130453101.0,2016,130453103.0,13.0,0.0,,,1.0,4.0,7.0,2016.0,42.0,0.0,,,0.0,9.0,2016.0
130459102.0,2016,130459103.0,13.0,1.0,,,1.0,1.0,8.0,2016.0,38.0,0.0,,,0.0,6.0,2016.0
130465104.0,2016,130465105.0,12.0,1.0,,1.0,1.0,2.0,4.0,2016.0,34.0,0.0,,1.0,1.0,13.0,2016.0
130475106.0,2016,130475107.0,12.0,1.0,,,1.0,4.0,6.0,2016.0,38.0,0.0,,,0.0,6.0,2016.0
130486103.0,2016,130486104.0,10.0,1.0,,,1.0,3.0,4.0,2016.0,31.0,0.0,,,0.0,3.0,2016.0
130489101.0,2016,130489105.0,13.0,1.0,,1.0,1.0,2.0,7.0,2016.0,42.0,0.0,,,0.0,12.0,2016.0
130506102.0,2016,130506103.0,13.0,1.0,,,1.0,3.0,6.0,2016.0,35.0,0.0,,,0.0,9.0,2016.0
130527102.0,2016,130527103.0,15.0,1.0,,,1.0,3.0,8.0,2016.0,36.0,0.0,,,0.0,9.0,2016.0
130563102.0,2016,130563103.0,12.0,0.0,,,1.0,2.0,6.0,2016.0,35.0,0.0,,,0.0,7.0,2016.0
130575102.0,2016,130575103.0,13.0,1.0,,,1.0,4.0,6.0,2016.0,35.0,0.0,,,0.0,8.0,2016.0
130578102.0,2016,130578103.0,14.0,0.0,,,1.0,4.0,9.0,2016.0,36.0,0.0,,,0.0,6.0,2016.0
130639104.0,2016,130639105.0,14.0,0.0,,,1.0,1.0,8.0,2016.0,37.0,0.0,,,0.0,9.0,2016.0
130655102.0,2016,130655103.0,15.0,1.0,,,0.0,,8.0,2016.0,36.0,0.0,,,0.0,6.0,2016.0
130693101.0,2016,130693103.0,11.0,1.0,,,1.0,4.0,4.0,2016.0,34.0,0.0,,,0.0,7.0,2016.0
130697102.0,2016,130697105.0,11.0,0.0,,,0.0,3.0,5.0,2016.0,34.0,0.0,,,0.0,12.0,2016.0
130708101.0,2016,130708103.0,13.0,1.0,,,1.0,2.0,7.0,2016.0,37.0,0.0,,,0.0,9.0,2016.0
130717101.0,2016,130717103.0,11.0,1.0,,,1.0,2.0,5.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
130719102.0,2016,130719103.0,15.0,1.0,,,1.0,4.0,8.0,2016.0,42.0,0.0,,,0.0,9.0,2016.0
130727103.0,2016,130727105.0,10.0,0.0,,,1.0,2.0,6.0,2016.0,33.0,0.0,,,0.0,9.0,2016.0
130737101.0,2016,130737103.0,15.0,0.0,,,1.0,2.0,10.0,2016.0,40.0,0.0,,,0.0,,2016.0
130777101.0,2016,130777103.0,11.0,0.0,,,1.0,1.0,5.0,2016.0,32.0,0.0,,,0.0,6.0,2016.0
130783101.0,2016,130783103.0,11.0,1.0,,,1.0,3.0,3.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
130792103.0,2016,130792105.0,12.0,1.0,,,1.0,1.0,6.0,2016.0,36.0,0.0,,,0.0,12.0,2016.0
130815105.0,2016,130815104.0,12.0,1.0,,,1.0,1.0,6.0,2016.0,35.0,0.0,,,0.0,12.0,2016.0
130841101.0,2016,130841103.0,13.0,0.0,,,1.0,4.0,6.0,2016.0,36.0,0.0,,,0.0,4.0,2016.0
130844101.0,2016,130844103.0,13.0,0.0,,,1.0,1.0,7.0,2016.0,36.0,0.0,,,0.0,8.0,2016.0
130846102.0,2016,130846103.0,10.0,0.0,,,1.0,2.0,3.0,2016.0,34.0,0.0,,,0.0,6.0,2016.0
130877101.0,2016,130877106.0,12.0,0.0,,,1.0,4.0,6.0,2016.0,37.0,0.0,,,0.0,9.0,2016.0
130881104.0,2016,130881105.0,14.0,1.0,,,1.0,1.0,8.0,2016.0,38.0,0.0,,,0.0,9.0,2016.0
130884101.0,2016,130884105.0,14.0,1.0,,,1.0,1.0,8.0,2016.0,38.0,0.0,,,0.0,9.0,2016.0
130894104.0,2016,197585401.0,12.0,1.0,,,1.0,1.0,6.0,2016.0,38.0,0.0,,,0.0,19.0,2016.0
130898101.0,2016,130898103.0,13.0,1.0,,,0.0,4.0,7.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
130900103.0,2016,130900106.0,10.0,1.0,,,1.0,2.0,4.0,2016.0,31.0,0.0,,,0.0,9.0,2016.0
130911104.0,2016,130911105.0,11.0,1.0,,1.0,1.0,2.0,5.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
130918101.0,2016,130918103.0,14.0,0.0,,,1.0,3.0,8.0,2016.0,37.0,0.0,,,0.0,9.0,2016.0
130926102.0,2016,130926103.0,11.0,0.0,,,1.0,3.0,5.0,2016.0,32.0,0.0,,,0.0,9.0,2016.0
130928104.0,2016,130928105.0,11.0,1.0,,,1.0,3.0,5.0,2016.0,34.0,0.0,,,0.0,9.0,2016.0
140007105.0,2016,140007107.0,12.0,1.0,,,1.0,2.0,6.0,2016.0,33.0,0.0,,,0.0,,2016.0
