mother_pid,wav,child_pid,child_birth_y,child_age,child_gender,child_enroll,child_math,child_enroll2,child_eduy,child_wav,mother_birth_y,mother_age,mother_gender,mother_eth,mother_enroll2,mother_eduy,mother_birth_prov,mother_wav
410527104.0,2014,410527105.0,2001.0,13.0,0.0,1.0,3.0,1.0,7.0,2014.0,1979.0,35.0,0.0,,0.0,15.0,,2014.0
410528103.0,2014,410528104.0,1999.0,15.0,1.0,1.0,4.0,1.0,7.0,2014.0,1975.0,39.0,0.0,,0.0,6.0,,2014.0
410539104.0,2014,410539105.0,2001.0,13.0,0.0,1.0,1.0,1.0,8.0,2014.0,1978.0,36.0,0.0,,0.0,8.0,,2014.0
410541104.0,2014,410541105.0,2000.0,14.0,0.0,1.0,1.0,1.0,9.0,2014.0,1977.0,37.0,0.0,,0.0,6.0,,2014.0
410548102.0,2014,410548104.0,2002.0,12.0,0.0,1.0,3.0,1.0,7.0,2014.0,1978.0,36.0,0.0,,0.0,9.0,,2014.0
410550102.0,2014,410550103.0,2003.0,11.0,0.0,1.0,1.0,1.0,6.0,2014.0,1981.0,33.0,0.0,,0.0,9.0,,2014.0
410554104.0,2014,410554107.0,1999.0,15.0,0.0,1.0,3.0,1.0,9.0,2014.0,1977.0,37.0,0.0,,0.0,8.0,,2014.0
410558102.0,2014,410558103.0,2004.0,10.0,1.0,1.0,2.0,1.0,3.0,2014.0,,,,,,,,
410564101.0,2014,410564103.0,2001.0,13.0,0.0,1.0,4.0,1.0,7.0,2014.0,1980.0,34.0,0.0,,0.0,6.0,,2014.0
410567102.0,2014,410567103.0,2000.0,14.0,0.0,1.0,3.0,1.0,8.0,2014.0,1967.0,47.0,0.0,,,0.0,,2014.0
410589102.0,2014,410589103.0,2002.0,12.0,0.0,1.0,3.0,1.0,6.0,2014.0,1970.0,44.0,0.0,,0.0,9.0,,2014.0
410590101.0,2014,410590103.0,2002.0,12.0,0.0,1.0,2.0,1.0,6.0,2014.0,1975.0,39.0,0.0,,0.0,8.0,,2014.0
